lo/gos	lo/gos	n-s---mn-
de/ka	de/ka_	v3s-ia---
mh=nas	mai/nomai	v2saia---
mh=nas	mei/s	n-p---ma-
pro\s	pro/s	r--------
a)/llois	a)/llos	n-p---nd-
a)/llois	a)/llos	n-p---md-
a)kh/ruktos	a)kh/ruktos	n-s----n-
me/nei	me/nos	n-d---n--
me/nei	me/nei+	n-s---nd-
me/nei	me/nos	n-s---nd-
me/nei	me/nw	v2spie---
me/nei	me/nw	v3spia---
ka)sti/n	e)stin	v3spia---
ti	tis	n-s---n--
deino\n	deino/n	n-s---ma-
deino\n	deino/n	n-s---n--
ph=ma	ph=ma	n-s---n--
toiau/thn	toiou=tos	n-s---fa-
e)moi\	e)moi/	n1s----d-
e)moi\	e)moi/	n-p---m--
de/lton	de/ltos	n-s---fa-
e)/steixe	stei/xw	v3s-ia---
th\n	th/n	l-s---fa-
e)gw\	e)gw/	n1s------
qama\	qama/	x--------
qeoi=s	qea/w	v2spoa---
qeoi=s	qeo/s	n-p---md-
a)rw=mai	a)ra/omai	v1spse---
a)rw=mai	a)ra/omai	v1spie---
a)rw=mai	a)ra/omai	v1spse---
a)rw=mai	a)ra/zw	v1sfim---
a)rw=mai	a)re/omai	v1spse---
a)rw=mai	a)ro/w	v1spse---
a)rw=mai	a)ro/w	v1spie---
phmonh=s	phmonh/	n-s---fg-
a)/ter	a)/ter	r--------
labei=n	lamba/nw	v--ana---
de/spoina	de/spoina	n-s---f--
polla\	polla_/	n-d---f--
polla\	polla_/	n-s---f--
polla\	polla/	n-p---n--
me/n	me/n	g--------
e)gw\	e)gw/	n1s------
katei=don	katei=don	v3paia---
katei=don	katei=don	v1saia---
h)/dh	h)/dh	x--------
h)/dh	h)_/dh	n-p---n--
h)/dh	h)_/dh	n-d---n--
o)du/rmata	o)/durma	n-p---n--
th\n	th/n	l-s---fa-
e)/codon	e)/codos1	n-s---fa-
e)/codon	e)/codos2	n-s----a-
e)/codon	e)/codos2	n-s---n--
nu=n	nu=n	x--------
ei)	ei)	c--------
di/kaion	di/kaios	n-s---ma-
di/kaion	di/kaios	n-s---n--
di/kaion	di/kaios	n-s----a-
di/kaion	di/kaios	n-s---n--
tou\s	tou/s	l-p---ma-
e)leuqe/rous	e)leu/qeros	n-p---ma-
e)leuqe/rous	e)leu/qeros	n-p----a-
e)leuqe/rous	e)leuqero/w	v2s-ia---
frenou=n	freno/w	v--pna---
gnw/maisi	gnw/mh	n-p---fd-
dou/lais	dou/lh	n-p---fd-
dou/lais	dou=los	n-p---fd-
dou/lais	dou=los	n-p---fd-
ka)me\	a_)me/	n-s---mv-
ka)me\	e)me/	n1s----a-
ka)me\	e)me/	n-s---mv-
ka)me\	a)me/	n-s---mv-
xrh\	xrh/	v3spia---
fra/sai	fra/zw	v2samm---
fra/sai	fra/zw	v--ana---
fra/sai	fra/sai_	v3saoa---
to\	to/	l-s---n--
so/n	so/s	n-s---ma-
so/n	so/s	n-s---n--
pw=s	pw=s	x--------
pw=s	pw=s2	x--------
pw=s	pws	g--------
paisi\	paisi/	n-p----d-
me\n	me/n	g--------
tosoi=sde	toso/sde	n-p----d-
plhqu/eis	plhqu/w	v2spia---
a)ta\r	a)ta/r	g--------
a)ndro\s	a)ndro/s	n-s---mg-
kata\	kata/	r--------
zh/thsin	zh/thsis	n-s---fa-
ou)	ou)	x--------
pe/mpeis	pe/mpw	v2spia---
tina/	tina	n-s----a-
tina/	tina	n-p---n--
ma/lista	ma/lista	x--------
o(/nper	o(/n	n-s---ma-
o(/nper	o(/n	n-s---na-
u(/llon	u(/llos	n-s---ma-
ei)	ei)	c--------
patro\s	patro/s	n-s---mg-
ne/moi	ne/moi_	v3spoa---
w)/ran	w)/ra_n	n-s---fa-
tou=	o(	l-s----g-
tou=	ti/s	n-s----g-
tou=	tis	n-s----g-
kalw=s	kalo/s	x--------
pra/ssein	pra_/ssein	v--pna---
dokei=n	doke/w	v--pna---
e)ggu\s	e)ggu/s	x--------
au)to\s	au)to/s	n-s---mn-
a)rti/pous	a)rti/pous	n-s------
qrw/|skei	qrw/|skw	v2spie---
qrw/|skei	qrw/|skw	v3spia---
do/mous	do/mos	n-p---ma-
do/mous	domo/w	v2s-ia---
ei)/	ei)	c--------
ti/	ti/s	n-s---n--
ti/	ti	n-s---n--
soi	su/	n2s----d-
pro\s	pro/s	r--------
kairo\n	kairo/n	n-s---ma-
e)nne/pein	e)ne/pw	v--pna---
dokw=	doka/zw	v1sfia---
dokw=	doke/w	v1spsa---
dokw=	doke/w	v1spia---
dokw=	doko/n	n-s---ng-
dokw=	doko/s	n-s----g-
dokw=	doko/w	v1spsa---
dokw=	doko/w	v1spia---
dokw=	dokw/	n-d---f--
dokw=	dokw/	n-s---fa-
pa/resti	pa/reimi1	v3spia---
xrh=sqai	xra/omai	v--pne---
xrh=sqai	xra/omai	v--pne---
xrh=sqai	xra/omai	v--pne---
xrh=sqai	xra/w1	v--pne---
xrh=sqai	xra/w2	v--pne---
xrh=sqai	xra/w2	v--pne---
xrh=sqai	xrau/w	v--pne---
ta)ndri\	a)ndri/	n-s---fv-
ta)ndri\	a)ndri/	n-s---md-
toi=s	o(	l-p----d-
e)moi=s	e)me/w	v2sfoa---
e)moi=s	e)me/w	v2spoa---
e)moi=s	e)mo/s	n-p----d-
lo/gois	lo/gos	n-p---md-
w)=	ei)mi/	v1spsa---
w)=	w)=	x--------
te/knon	te/knon	n-s---n--
w)=	ei)mi/	v1spsa---
w)=	w)=	x--------
pai=	pai=s	n-s----v-
ka)c	e)c	r--------
a)gennh/twn	a)ge/nnhtos	n-p---fg-
a)gennh/twn	a)ge/nnhtos	n-p----g-
a)gennh/twn	a)ge/nnhtos	n-p----g-
a)/ra	a)/ra	g--------
a)/ra	a)/ron	n-p---n--
a)/ra	a)/ra_	n-p---n--
mu=qoi	mu=qos	n-p---m--
kalw=s	kalo/s	x--------
pi/ptousin	pi_/ptousin	v3ppia---
h(/de	o(/de	n-s---fn-
ga\r	ga/r	g--------
gunh\	gunh/	n-s---fn-
dou/lh	dou/lh	n-s---f--
dou/lh	dou=los	n-s---f--
dou/lh	dou=los	n-s---f--
me/n	me/n	g--------
ei)/rhken	e)rw=	v3plia---
ei)/rhken	e)rw=	v3sria---
e)leu/qeron	e)leu/qeros	n-s---ma-
e)leu/qeron	e)leu/qeros	n-s---n--
e)leu/qeron	e)leu/qeros	n-s----a-
e)leu/qeron	e)leu/qeros	n-s---n--
lo/gon	lo/gos	n-s---ma-
poi=on	poi=os	n-s---ma-
poi=on	poi=os	n-s---n--
di/dacon	dida/skw	v2sama---
mh=ter	mh/thr	n-s---fv-
ei)	ei)	c--------
didakta/	didakto/s	n-p---n--
didakta/	didakta_/	n-d---f--
didakta/	didakta_/	n-s---f--
moi	e)gw/	n1s----d-
se\	se/	n-s---mv-
se\	se	n2s----a-
se\	se/	n2s----a-
patro\s	patro/s	n-s---mg-
ou(/tw	ou(/tws	x--------
daro\n	da_ro/n	n-s---ma-
daro\n	da_ro/n	n-s---n--
to\	to/	l-s---n--
mh\	mh/	c--------
puqe/sqai	punqa/nomai	v--anm---
pou=	pou/	x--------
pou=	pou=	x--------
ai)sxu/nhn	ai)sxu_/nhn	n-s---fa-
ai)sxu/nhn	ai)sxu_/nhn	v--pna---
fe/rein	fe/rw	v--pna---
oi)=da	oi)=da	v1sria---
mu/qois	mu_/qois	n-p---md-
ei)/	ei)	c--------
ti	tis	n-s---n--
pisteu/ein	pisteu/w	v--pna---
xrew/n	xrew/n	x--------
kai\	kai/	c--------
pou=	pou/	x--------
pou=	pou=	x--------
klu/eis	klu/w	v2spia---
nin	nin	n3s----a-
te/knon	te/knon	n-s---n--
i(dru=sqai	i_(dru=sqai	v--rne---
xqono/s	xqw/n	n-s---fg-
to\n	to/n	l-s---ma-
me\n	me/n	g--------
a)/roton	a)/rotos	n-s---ma-
a)/roton	a_)/roton	v2d-ia---
a)/roton	a)ro/w	v2dpma---
a)/roton	a)ro/w	v3dpia---
a)/roton	a)ro/w	v2dpia---
a)/roton	a)ro/w	v2d-ia---
e)n	e)n	r--------
e)n	ei)s	r--------
mh/kei	mh_/kei	n-d---n--
mh/kei	mh_/kei+	n-s---nd-
mh/kei	mh_/kei	n-s---nd-
xro/nou	xro/nos	n-s---mg-
xro/nou	xrono/w	v2spma---
xro/nou	xrono/w	v3s-ia---
gunaiki/	gunh/	n-s---fd-
fasi/	fa_si	v3ppia---
fasi/	fa_si	v3spia---
nin	nin	n3s----a-
la/trin	la/tris	n-s---fa-
ponei=n	pone/w	v--pna---
pa=n	pa=s	n-s---ma-
pa=n	pa=s	n-s---n--
toi/nun	toi/nun	g--------
ei)	ei)	c--------
kai\	kai/	c--------
e)/tlh	tla/w	v3saia---
e)/tlh	tla/w	v3s-ia---
klu/oi	klu/oi_	v3saoa---
klu/oi	klu/oi_	v3spoa---
tis	tis	n-s----n-
a)/n	a)/n1	g--------
a)/n	a)/_n	c--------
a)/n	a)na/	r--------
a)/n	e)a/n	c--------
e)cafei=tai	e)cafi/hmi	v3srie---
tou=de/	tou=de	n-s----g-
w(s	w(s	c--------
e)gw\	e)gw/	n1s------
klu/w	klu/w	v1sasa---
klu/w	klu/w	v1spsa---
klu/w	klu/w	v1spia---
pou=	pou/	x--------
pou=	pou=	x--------
dh=ta	dh=ta	x--------
nu=n	nu=n	x--------
zw=n	za/w	v3p-ia---
zw=n	za/w	v1s-ia---
h)\	h)/	c--------
h)\	h)/	x--------
a)gge/lletai	a)gge/llw	v3spie---
xw/ran	xw/ra_n	n-s---fa-
fasi/n	fa_sin	v3ppia---
fasi/n	fa_sin	v3spia---
eu)ru/tou	eu)/rutos	n-s----g-
po/lin	po/lis	n-s---fa-
e)pistrateu/ein	e)pistrateu/w	v--pna---
e)pistrateu/ein	e)pistrateu/w	v--pna---
au)to\n	au)to/n	n-s---ma-
h)\	h)/	c--------
h)\	h)/	x--------
me/llein	me/llw	v--pna---
e)/ti	e)/ti	x--------
oi)=sqa	oi)=da	v2sria---
w)=	ei)mi/	v1spsa---
w)=	w)=	x--------
te/knon	te/knon	n-s---n--
w(s	w(s	c--------
e)/leipe/	e)/leipe	v3s-ia---
moi	e)gw/	n1s----d-
mantei=a	mantei=on	n-p---n--
mantei=a	mantei=os	n-p---n--
mantei=a	mantei=os	n-p---n--
pista\	pista/	n-p---n--
pista\	pista/	n-p---n--
pista\	pista_/	n-d---f--
pista\	pista_/	n-s---f--
pista\	pista/	n-p---n--
pista\	pista_/	n-d---f--
pista\	pista_/	n-s---f--
th=sde	o(/de	n-s---fg-
th=s	o(	l-s---fg-
xw/ras	xw/ra_s	n-p---fa-
xw/ras	xw/ra_s	n-s---fg-
pe/ri	peri/	r--------
ta\	ta/	l-p---na-
ta\	ta/	l-p---n--
ta\	ta_/	l-d---fa-
ta\	ta_/	l-d---f--
ta\	ta/	n-p---n--
poi=a	poi=os	n-p---n--
mh=ter	mh/thr	n-s---fv-
to\n	to/n	l-s---ma-
lo/gon	lo/gos	n-s---ma-
ga\r	ga/r	g--------
a)gnow=	a)gnoe/w	v1spsa---
a)gnow=	a)gnoe/w	v1spia---
w(s	w(s	c--------
h)\	h)/	c--------
h)\	h)/	x--------
teleuth\n	teleuth/n	n-s---fa-
tou=	o(	l-s----g-
tou=	ti/s	n-s----g-
tou=	tis	n-s----g-
bi/ou	bi/os	n-s---mg-
bi/ou	bio/w	v2spma---
bi/ou	bio/w	v2s-ie---
bi/ou	bio/w	v3s-ia---
me/llei	me/llw	v2spie---
me/llei	me/llw	v3spia---
telei=n	te/llw	v--fna---
telei=n	tele/w	v--fna---
telei=n	tele/w	v--pna---
h)\	h)/	c--------
h)\	h)/	x--------
tou=ton	ou(=tos	n-s---ma-
a)=qlon	a_)=qlon	n-s---n--
a)=qlon	a_)=qlon	n-s---ma-
ei)s	ei)s	r--------
to/	o(	l-s---n--
u(/steron	u(/steron	n-s---n--
u(/steron	u(/steros	n-s---ma-
u(/steron	u(/steros	n-s---n--
to\n	to/n	l-s---ma-
loipo\n	loipo/n	n-s---ma-
loipo\n	loipo/n	n-s---n--
h)/dh	h)/dh	x--------
h)/dh	h)_/dh	n-p---n--
h)/dh	h)_/dh	n-d---n--
bi/oton	bi/otos	n-s---ma-
e)/xein	e)/xw	v--pna---
e)n	e)n	r--------
e)n	ei)s	r--------
ou)=n	ou)=n	g--------
r(oph=|	r(oph/	n-s---fd-
toia=|de	toio/sde	n-s---fd-
te/knon	te/knon	n-s---n--
ou)k	ou)	x--------
ei)=	ei)	c--------
ei)=	ei)=mi	v2spia---
ei)=	ei)mi/	v2spia---
h)\	h)/	c--------
h)\	h)/	x--------
sesw/smeqa	sw/zw	v1prie---
sesw/smeqa	sw/zw	v1plie---
[h)\	h)/	c--------
[h)\	h)/	x--------
pi/ptomen	pi_/ptomen	v1ppia---
pi/ptomen	pi_/ptomen	v1p-ia---
sou=	se/w	v2spme---
sou=	se/w	v2s-ie---
sou=	seu/w	v2spmm---
sou=	so/s	n-s----g-
sou=	sou=	x--------
sou=	su/	n2s----g-
patro\s	patro/s	n-s---mg-
kei/nou	e)kei=nos	n-s---ng-
kei/nou	e)kei=nos	n-s---mg-
kei/nou	kei=nos	n-s----g-
kei/nou	keno/w	v2spma---
kei/nou	keno/w	v3s-ia---
bi/on	bi/os	n-s---ma-
bi/on	bio/w	v3paia---
h)\	h)/	c--------
h)\	h)/	x--------
a(/ma	a(/ma	x--------
ei)=mi	ei)=mi	v1spia---
mh=ter	mh/thr	n-s---fv-
ei)	ei)	c--------
de\	de/	g--------
qesfa/twn	qe/sfatos	n-p----g-
e)gw\	e)gw/	n1s------
ba/cin	ba/cis	n-s---fa-
kath/|dh	ka/toida	v1slia---
kath/|dh	ka/toida	v3slia---
tw=nde	o(/de	n-p---fg-
tw=nde	o(/de	n-p----g-
ka)\n	ka)/n	c--------
pa/lai	pa/la	n-p---f--
pa/lai	pa/la_|	n-s---fd-
pa/lai	pa/lai	x--------
pa/lai	pa/lh	n-p---f--
pa/lai	pa/la_|	n-s---fd-
pa/lai	pa_/lai_	v3saoa---
parh=	pa/reimi1	v1s-ia---
nu=n	nu=n	x--------
o(	o(	l-s---mn-
cunh/qhs	su/n-h)qe/w	v2s-ia---
cunh/qhs	su/n-h)qe/w	v2s-ia---
po/tmos	po/tmos	n-s---mn-
ou)k	ou)	x--------
ei)/a	ei)/a_	v3s-ia---
ei)/a	ei)/a_	v2spma---
ei)/a	ei)/a_	v3s-ia---
ei)/a	ei)/a_	v3s-ia---
patro\s	patro/s	n-s---mg-
h(ma=s	e)gw/	n1p----a-
h(ma=s	h(mo/s	n-s---fg-
protarbei=n	protarbe/w	v--pna---
protarbei=n	protarbe/w	v--pna---
ou)	ou)	x--------
de\	de/	g--------
deimai/nein	deimai/nw	v--pna---
a)/gan	a)/gan	x--------
a)/gan	a)/ga_n	n-s---fa-
a)/gan	a_)/ga_n	v3p-ia---
a)/gan	a_)/ga_n	v1s-ia---
a)/gan	a)/ga_n	v3p-ia---
a)/gan	a)/ga_n	v1s-ia---
nu=n	nu=n	x--------
w(s	w(s	c--------
ou)de\n	ou)de/n	n-s---n--
e)llei/yw	e)llei/pw	v1sfia---
to\	to/	l-s---n--
mh\	mh/	c--------
ou)	ou)	x--------
pa=san	pa=s	n-s---fa-
puqe/sqai	punqa/nomai	v--anm---
a)lh/qeian	a)lh/qeia	n-s---fa-
pe/ri	peri/	r--------
xw/rei	xwre/w	v2spma---
xw/rei	xwre/w	v3s-ia---
nun	nu=n	x--------
w)=	ei)mi/	v1spsa---
w)=	w)=	x--------
